"Income Monthly","Monthly Debt","Credit Score","Loan Amount","DTI","Employment Status","Defaults","Loan Status","Loan Period (Months)"
"101157","15777","613","310519","15.6","Self-Employed","No","approved","180"
"98980","12837","436","156638","12.97","Employed","No","rejected","180"
"0","0","625","807546","0","Self-Employed","No","rejected","48"
"154735","69401","512","1951232","44.85","Employed","No","approved","24"
"117357","15796","708","1959786","13.46","Employed","No","approved","60"
"198260","82909","555","320337","41.82","Employed","No","approved","24"
"56282","18298","655","719078","32.51","Self-Employed","No","approved","60"
"34390","6150","468","1503971","17.88","Self-Employed","No","rejected","240"
"113869","3571","422","2469273","3.14","Self-Employed","No","rejected","120"
"0","0","771","241521","0","Self-Employed","No","rejected","180"
"41186","18654","799","830647","45.29","Self-Employed","No","approved","180"
"21862","4223","732","2161994","19.32","Self-Employed","No","rejected","36"
"117734","16009","640","622018","13.6","Employed","No","approved","36"
"167630","21844","658","1023303","13.03","Self-Employed","No","approved","48"
"26780","1475","499","1052988","5.51","Employed","No","rejected","12"
"48180","13969","558","1861361","28.99","Self-Employed","No","approved","48"
"39115","11329","712","692323","28.96","Self-Employed","No","approved","12"
"133816","41661","450","1523814","31.13","Employed","No","rejected","60"
"119312","68171","534","294917","57.14","Employed","No","approved","180"
"152554","3265","623","540729","2.14","Employed","No","approved","120"
"110456","31938","445","1179670","28.91","Employed","No","rejected","24"
"107976","46394","717","2213435","42.97","Self-Employed","No","approved","24"
"75791","32323","605","1883361","42.65","Employed","No","approved","48"
"86102","1190","441","288982","1.38","Self-Employed","No","rejected","180"
"66720","2065","499","571897","3.1","Self-Employed","No","rejected","24"
"91361","7388","586","760305","8.09","Self-Employed","No","approved","240"
"30104","10400","777","1797899","34.55","Employed","No","approved","240"
"95270","47985","695","2160532","50.37","Employed","No","approved","60"
"59367","27175","494","362609","45.77","Employed","No","rejected","180"
"42309","12626","604","2460714","29.84","Employed","No","approved","24"
"81143","31728","629","1266116","39.1","Employed","No","approved","180"
"108783","53671","434","2389950","49.34","Employed","No","rejected","60"
"60134","24187","687","2458799","40.22","Self-Employed","No","approved","120"
"72350","3664","543","1793827","5.06","Self-Employed","No","approved","240"
"0","0","786","1263060","0","Self-Employed","No","rejected","36"
"80816","16489","602","1774127","20.4","Employed","No","approved","12"
"108846","26392","777","2366145","24.25","Self-Employed","No","approved","120"
"182340","88906","518","1900468","48.76","Employed","No","approved","12"
"38784","9406","652","342317","24.25","Self-Employed","No","approved","180"
"178802","101820","775","1462124","56.95","Self-Employed","No","approved","36"
"192400","94673","779","969958","49.21","Self-Employed","No","approved","36"
"93270","37044","780","403478","39.72","Self-Employed","No","approved","120"
"77887","13488","765","2159863","17.32","Self-Employed","No","approved","36"
"159638","63375","655","2405103","39.7","Self-Employed","No","approved","48"
"174661","63445","519","642450","36.32","Employed","No","approved","12"
"136357","64588","687","2293603","47.37","Employed","No","approved","180"
"13749","6391","555","624749","46.48","Employed","No","approved","36"
"206565","23755","422","1743812","11.5","Self-Employed","No","rejected","120"
"0","0","839","1561351","0","Self-Employed","No","rejected","12"
"182466","43091","459","1343690","23.62","Self-Employed","No","rejected","12"
"166621","16554","577","1357089","9.94","Self-Employed","No","approved","12"
"205685","112935","743","1822128","54.91","Self-Employed","No","approved","180"
"139322","78889","562","2214664","56.62","Employed","No","approved","12"
"119697","52883","559","2324485","44.18","Employed","No","approved","120"
"99160","18743","586","1398782","18.9","Employed","No","approved","240"
"123734","34843","531","790522","28.16","Self-Employed","No","approved","48"
"0","0","539","1553312","0","Employed","No","rejected","36"
"144513","29447","593","397761","20.38","Self-Employed","No","approved","48"
"189518","68121","457","1107723","35.94","Employed","No","rejected","120"
"88805","50481","471","842527","56.84","Self-Employed","No","rejected","60"
"129671","34477","848","1307497","26.59","Employed","No","approved","24"
"76251","44411","685","1797354","58.24","Employed","No","approved","180"
"64086","30894","826","700562","48.21","Self-Employed","No","approved","12"
"84683","11886","655","2519297","14.04","Self-Employed","No","approved","60"
"155881","64185","603","2302650","41.18","Self-Employed","No","approved","24"
"92183","54729","836","2208703","59.37","Self-Employed","No","approved","240"
"161748","91816","724","1401043","56.76","Self-Employed","No","approved","60"
"115645","19821","813","1413608","17.14","Self-Employed","No","approved","24"
"110083","41102","537","2097748","37.34","Employed","No","approved","240"
"83886","39098","833","874819","46.61","Self-Employed","No","approved","240"
"99853","41063","520","337397","41.12","Employed","No","approved","240"
"105024","48036","481","1562052","45.74","Self-Employed","No","rejected","240"
"85794","1760","575","196854","2.05","Self-Employed","No","approved","24"
"45633","21054","529","766948","46.14","Self-Employed","No","approved","240"
"56137","22337","476","309595","39.79","Self-Employed","No","rejected","180"
"132083","27985","575","231279","21.19","Employed","No","approved","240"
"71911","10606","813","742709","14.75","Self-Employed","No","approved","12"
"69054","6905","730","43737","10","Self-Employed","No","approved","240"
"172751","17060","467","2047360","9.88","Employed","No","rejected","180"
"63737","12310","645","457710","19.31","Employed","No","approved","180"
"161350","11707","649","618916","7.26","Self-Employed","No","approved","48"
"100581","41464","477","2249733","41.22","Self-Employed","No","rejected","120"
"175684","4444","799","2491579","2.53","Employed","No","approved","180"
"54442","20074","698","384945","36.87","Self-Employed","No","approved","36"
"48449","19412","633","1956750","40.07","Employed","No","approved","36"
"207432","97060","638","1151603","46.79","Employed","No","approved","48"
"153981","87731","651","1692219","56.98","Self-Employed","No","approved","60"
"0","0","701","1922683","0","Self-Employed","No","rejected","240"
"172060","25754","806","289631","14.97","Employed","No","approved","48"
"38241","14297","535","1580878","37.39","Self-Employed","No","approved","36"
"153161","1952","780","2320116","1.27","Employed","No","approved","24"
"113124","19335","571","1673709","17.09","Employed","No","approved","36"
"97403","1284","835","1766056","1.32","Self-Employed","No","approved","120"
"195703","35868","657","1376676","18.33","Self-Employed","No","approved","180"
"75530","34609","554","1646359","45.82","Self-Employed","No","approved","48"
"184146","64359","582","684722","34.95","Self-Employed","No","approved","48"
"8603","4184","830","277912","48.63","Employed","No","approved","36"
"190530","26304","435","476259","13.81","Employed","No","rejected","60"
"0","0","630","102040","0","Employed","No","rejected","12"
"0","0","542","285346","0","Employed","No","rejected","60"
"85985","34442","794","2194673","40.06","Employed","No","approved","180"
"35345","15967","574","1757569","45.17","Employed","No","approved","24"
"181047","73434","466","1356784","40.56","Self-Employed","No","rejected","180"
"189049","74196","437","362141","39.25","Self-Employed","No","rejected","180"
"171440","55293","652","827713","32.25","Employed","No","approved","36"
"0","0","458","2243549","0","Employed","No","rejected","36"
"199461","111296","650","739787","55.8","Employed","No","approved","180"
"149700","66521","732","262718","44.44","Employed","No","approved","120"
"125614","56641","823","809727","45.09","Employed","No","approved","48"
"0","0","571","1989097","0","Employed","No","rejected","12"
"110308","32958","605","1173851","29.88","Employed","No","approved","36"
"51277","19636","710","2212293","38.29","Self-Employed","No","approved","36"
"77857","44710","464","1762757","57.43","Employed","No","rejected","180"
"145013","82813","720","396745","57.11","Employed","No","approved","12"
"46335","16639","638","737536","35.91","Employed","No","approved","120"
"204169","36215","718","812183","17.74","Employed","No","approved","36"
"23636","7137","716","432665","30.2","Self-Employed","No","approved","120"
"74657","33197","670","1063620","44.47","Employed","No","approved","24"
"106982","52956","448","1236172","49.5","Self-Employed","No","rejected","240"
"172095","70373","604","72023","40.89","Self-Employed","No","approved","12"
"205220","11697","685","792213","5.7","Self-Employed","No","approved","36"
"167137","35525","597","1983342","21.26","Employed","No","approved","12"
"178598","10515","609","1111011","5.89","Self-Employed","No","approved","24"
"29631","7036","848","862495","23.75","Employed","No","approved","48"
"13694","4150","618","2335114","30.31","Employed","No","rejected","240"
"151507","18197","523","972280","12.01","Employed","No","approved","60"
"150150","88385","786","569205","58.86","Employed","No","approved","48"
"110026","58287","549","1431716","52.98","Employed","No","approved","60"
"31153","7353","788","257655","23.6","Employed","No","approved","180"
"32459","10459","448","975754","32.22","Self-Employed","No","rejected","48"
"176176","80020","674","1245693","45.42","Self-Employed","No","approved","120"
"10956","3791","700","1618259","34.6","Self-Employed","No","rejected","12"
"179117","57911","647","358561","32.33","Employed","No","approved","120"
"22511","410","677","1402311","1.82","Self-Employed","No","approved","12"
"29034","13593","831","1335517","46.82","Employed","No","approved","240"
"103140","50098","587","2267764","48.57","Employed","No","approved","48"
"197529","7144","800","1308569","3.62","Employed","No","approved","120"
"121100","25224","667","547308","20.83","Employed","No","approved","120"
"156837","60675","830","1753219","38.69","Self-Employed","No","approved","60"
"86281","4263","587","1876586","4.94","Employed","No","approved","60"
"30761","15219","561","1872954","49.47","Employed","No","approved","36"
"149214","65166","822","1558033","43.67","Self-Employed","No","approved","240"
"78259","34525","484","1364742","44.12","Employed","No","rejected","48"
"182958","97188","716","1552720","53.12","Employed","No","approved","24"
"131327","59784","502","1684200","45.52","Employed","No","approved","180"
"179378","1752","688","1335653","0.98","Self-Employed","No","approved","60"
"54670","32168","433","1613897","58.84","Employed","No","rejected","120"
"28020","11847","644","502205","42.28","Self-Employed","No","approved","12"
"171256","16046","582","913073","9.37","Self-Employed","No","approved","24"
"102948","24794","529","2250646","24.08","Employed","No","approved","12"
"181086","103881","475","2310326","57.37","Self-Employed","No","rejected","48"
"92644","1643","440","1079297","1.77","Employed","No","rejected","180"
"129863","50506","467","1525551","38.89","Self-Employed","No","rejected","12"
"178755","12971","637","894982","7.26","Self-Employed","No","approved","48"
"116297","24118","733","59748","20.74","Employed","No","approved","24"
"186292","20153","676","1630693","10.82","Self-Employed","No","approved","48"
"73720","5589","844","1412675","7.58","Employed","No","approved","48"
"158803","15426","599","1960438","9.71","Employed","No","approved","12"
"95355","40177","478","776721","42.13","Self-Employed","No","rejected","48"
"25943","8023","603","219150","30.93","Self-Employed","No","approved","120"
"32469","10220","524","2048027","31.48","Employed","No","approved","12"
"107835","52702","722","203967","48.87","Employed","No","approved","24"
"34978","1193","762","2060552","3.41","Self-Employed","No","approved","240"
"82782","32599","636","1848890","39.38","Self-Employed","No","approved","12"
"142981","79663","561","137933","55.72","Employed","No","approved","60"
"61869","14684","691","25075","23.73","Self-Employed","No","approved","240"
"120216","61341","821","212284","51.03","Employed","No","approved","24"
"74688","16397","749","2260641","21.95","Employed","No","approved","180"
"102399","23597","688","2412985","23.04","Employed","No","approved","60"
"108626","40961","488","76705","37.71","Self-Employed","No","rejected","12"
"31058","2230","743","261515","7.18","Employed","No","approved","36"
"83339","38210","454","1115477","45.85","Self-Employed","No","rejected","240"
"58903","26418","423","2260875","44.85","Self-Employed","No","rejected","120"
"134156","76128","595","2452749","56.75","Employed","No","approved","36"
"36089","11608","821","783067","32.16","Self-Employed","No","approved","180"
"78699","36196","696","1282178","45.99","Employed","No","approved","60"
"171496","83859","505","1647638","48.9","Employed","No","approved","60"
"180346","69986","622","1645756","38.81","Self-Employed","No","approved","36"
"118388","69835","594","1639463","58.99","Self-Employed","No","approved","36"
"91862","15991","642","949116","17.41","Self-Employed","No","approved","240"
"79586","32649","443","23551","41.02","Employed","No","rejected","36"
"0","0","557","240331","0","Employed","No","rejected","120"
"176593","67709","806","911096","38.34","Employed","No","approved","12"
"91234","446","599","2475821","0.49","Self-Employed","No","approved","12"
"27793","8360","771","1807345","30.08","Employed","No","approved","240"
"89585","38522","608","2063365","43","Self-Employed","No","approved","12"
"156836","49410","669","1303626","31.5","Employed","No","approved","24"
"156157","89851","467","1130251","57.54","Employed","No","rejected","12"
"27281","4657","477","1226232","17.07","Employed","No","rejected","12"
"169417","54997","727","1865680","32.46","Employed","No","approved","48"
"107273","47401","713","279422","44.19","Self-Employed","No","approved","120"
"116082","63391","502","1622863","54.61","Self-Employed","No","approved","36"
"84719","859","758","1786822","1.01","Employed","No","approved","240"
"38563","10022","605","1964175","25.99","Employed","No","approved","48"
"97001","44681","824","399674","46.06","Employed","No","approved","60"
"64678","15741","601","838581","24.34","Employed","No","approved","180"
"29112","14673","530","2276992","50.4","Employed","No","approved","48"
"193296","51665","787","2480327","26.73","Self-Employed","No","approved","36"
"82982","13005","673","1102708","15.67","Employed","No","approved","36"
"137475","27229","674","919995","19.81","Self-Employed","No","approved","240"
"69812","22731","550","1881697","32.56","Employed","No","approved","60"
"148793","62362","754","1889055","41.91","Self-Employed","No","approved","48"
"44573","25039","697","1786456","56.18","Self-Employed","No","approved","240"
"0","0","600","1638820","0","Self-Employed","No","rejected","48"
"10044","2327","626","2430399","23.17","Self-Employed","No","rejected","180"
"61205","27702","428","1577468","45.26","Self-Employed","No","rejected","180"
"187025","52660","535","276432","28.16","Self-Employed","No","approved","36"
"160809","48131","793","902134","29.93","Self-Employed","No","approved","48"
"54878","27957","476","587022","50.94","Self-Employed","No","rejected","180"
"0","0","809","323351","0","Employed","No","rejected","60"
"89949","15742","574","552166","17.5","Employed","No","approved","48"
"146747","51704","761","636199","35.23","Self-Employed","No","approved","12"
"0","0","562","796904","0","Employed","No","rejected","240"
"159670","13004","448","1314466","8.14","Employed","No","rejected","24"
"45817","20984","724","1719894","45.8","Self-Employed","No","approved","120"
"151723","2391","696","1290878","1.58","Self-Employed","No","approved","180"
"33298","19300","690","1595693","57.96","Self-Employed","No","approved","240"
"46643","24684","760","1929888","52.92","Self-Employed","No","approved","12"
"203467","101947","616","534612","50.1","Self-Employed","No","approved","12"
"56524","12876","623","2302156","22.78","Self-Employed","No","approved","24"
"36293","18458","497","265189","50.86","Employed","No","rejected","60"
"67773","10094","842","63430","14.89","Self-Employed","No","approved","48"
"58274","19836","668","533113","34.04","Self-Employed","No","approved","24"
"51696","9861","453","2228724","19.07","Self-Employed","No","rejected","48"
"68461","13655","817","917840","19.95","Self-Employed","No","approved","120"
"173858","67505","532","2433876","38.83","Self-Employed","No","approved","12"
"72130","10668","586","1723037","14.79","Self-Employed","No","approved","180"
"0","0","670","512133","0","Employed","No","rejected","36"
"137422","24039","439","2113402","17.49","Self-Employed","No","rejected","120"
"171115","20214","624","42483","11.81","Employed","No","approved","120"
"131703","39235","760","927352","29.79","Self-Employed","No","approved","120"
"48335","6230","446","668504","12.89","Employed","No","rejected","36"
"152835","2871","513","1198378","1.88","Employed","No","approved","24"
"207815","92567","750","1015205","44.54","Employed","No","approved","180"
"141172","10359","671","538729","7.34","Self-Employed","No","approved","48"
"135033","29665","540","77187","21.97","Employed","No","approved","36"
"126353","24405","782","854157","19.31","Self-Employed","No","approved","240"
"81864","336","795","1276138","0.41","Employed","No","approved","36"
"88110","29182","822","1002859","33.12","Self-Employed","No","approved","12"
"192369","54551","683","1184478","28.36","Self-Employed","No","approved","240"
"201691","64362","436","1745670","31.91","Employed","No","rejected","48"
"30596","3546","792","1017891","11.59","Employed","No","approved","120"
"105233","12681","459","1095474","12.05","Employed","No","rejected","120"
"13181","2353","730","1249314","17.85","Employed","No","rejected","12"
"206543","96821","724","2111881","46.88","Self-Employed","No","approved","36"
"39213","1880","578","593941","4.79","Self-Employed","No","approved","240"
"88642","11542","672","205381","13.02","Employed","No","approved","60"
"118258","2018","539","1807693","1.71","Self-Employed","No","approved","24"
"56270","23658","472","1241885","42.04","Self-Employed","No","rejected","48"
"203410","45986","447","1156291","22.61","Employed","No","rejected","60"
"31366","12972","802","133980","41.36","Self-Employed","No","approved","240"
"132296","23338","518","462812","17.64","Self-Employed","No","approved","120"
"41057","2708","665","2074587","6.6","Employed","No","approved","36"
"132321","12753","639","2475958","9.64","Self-Employed","No","approved","36"
"148751","8763","457","69055","5.89","Employed","No","rejected","12"
"51953","1086","445","1044752","2.09","Self-Employed","No","rejected","36"
"143513","11811","593","1042990","8.23","Self-Employed","No","approved","12"
"110344","24233","773","2493399","21.96","Employed","No","approved","180"
"83839","36372","665","359851","43.38","Employed","No","approved","36"
"26755","4110","485","524620","15.36","Self-Employed","No","rejected","36"
"37324","7784","805","405042","20.86","Self-Employed","No","approved","48"
"143712","16552","822","1944369","11.52","Self-Employed","No","approved","60"
"127393","59317","684","1017998","46.56","Self-Employed","No","approved","120"
"59950","31155","768","2115314","51.97","Employed","No","approved","60"
"146053","72988","826","1066359","49.97","Employed","No","approved","240"
"99385","58179","685","122769","58.54","Self-Employed","No","approved","36"
"13108","3621","634","2265800","27.62","Self-Employed","No","rejected","36"
"199513","40906","485","1734987","20.5","Employed","No","rejected","180"
"182894","75209","718","1782653","41.12","Self-Employed","No","approved","12"
"129497","13138","820","1585318","10.15","Employed","No","approved","180"
"112146","49882","499","1542730","44.48","Employed","No","rejected","36"
"33650","15709","846","396381","46.68","Self-Employed","No","approved","240"
"39498","10018","774","2374166","25.36","Self-Employed","No","approved","60"
"61895","2821","701","1541891","4.56","Employed","No","approved","36"
"200424","114100","619","1153975","56.93","Employed","No","approved","24"
"61292","22152","582","404916","36.14","Employed","No","approved","120"
"107227","21228","715","2114057","19.8","Employed","No","approved","24"
"82887","10629","625","464186","12.82","Employed","No","approved","180"
"127653","59794","476","1095815","46.84","Employed","No","rejected","36"
"70239","11975","531","1031355","17.05","Self-Employed","No","approved","24"
"68146","14632","654","47403","21.47","Self-Employed","No","approved","36"
"12243","3215","660","2196001","26.26","Employed","No","rejected","60"
"158404","2456","544","559265","1.55","Employed","No","approved","12"
"196702","81663","516","1811522","41.52","Self-Employed","No","approved","60"
"0","0","591","2166932","0","Self-Employed","No","rejected","24"
"69527","16254","694","1609160","23.38","Self-Employed","No","approved","60"
"83697","45900","708","126490","54.84","Self-Employed","No","approved","48"
"0","0","754","826784","0","Self-Employed","No","rejected","36"
"35781","8418","628","2317986","23.53","Employed","No","approved","48"
"206876","116082","785","952191","56.11","Self-Employed","No","approved","48"
"54617","10010","581","1984952","18.33","Self-Employed","No","approved","180"
"115081","28570","585","2078387","24.83","Employed","No","approved","180"
"95579","16555","544","417970","17.32","Self-Employed","No","approved","60"
"170158","83802","731","1480867","49.25","Employed","No","approved","24"
"114737","7340","643","192532","6.4","Self-Employed","No","approved","36"
"19003","8121","831","329822","42.74","Self-Employed","No","approved","60"
"165833","70192","507","414587","42.33","Self-Employed","No","approved","24"
"94365","50159","837","1109508","53.15","Self-Employed","No","approved","48"
"75303","9477","543","990967","12.59","Employed","No","approved","60"
"0","0","426","2348383","0","Self-Employed","No","rejected","240"
"132545","23074","684","781408","17.41","Employed","No","approved","48"
"171930","6233","594","45483","3.63","Self-Employed","No","approved","60"
"99263","24250","702","511449","24.43","Self-Employed","No","approved","120"
"0","0","523","236517","0","Employed","No","rejected","48"
"9513","4126","753","663710","43.37","Employed","No","approved","12"
"130689","77069","772","1755445","58.97","Self-Employed","No","approved","24"
"204027","107718","824","1427342","52.8","Employed","No","approved","240"
"101452","7674","559","54630","7.56","Self-Employed","No","approved","48"
"73346","29178","655","355090","39.78","Employed","No","approved","240"
"200899","84215","845","2436660","41.92","Self-Employed","No","approved","48"
"110448","60231","710","87102","54.53","Employed","No","approved","180"
"33354","725","490","1937362","2.17","Employed","No","rejected","12"
"97617","42827","788","1787004","43.87","Employed","No","approved","24"
"37142","12563","768","1183921","33.82","Self-Employed","No","approved","240"
"154112","17419","840","1405673","11.3","Employed","No","approved","36"
"68299","22892","841","140909","33.52","Employed","No","approved","240"
"68469","657","527","609034","0.96","Employed","No","approved","240"
"68814","36446","832","798007","52.96","Employed","No","approved","120"
"121890","1912","643","1270638","1.57","Self-Employed","No","approved","12"
"207248","22281","728","2384446","10.75","Self-Employed","No","approved","180"
"107835","54599","455","494174","50.63","Employed","No","rejected","240"
"120781","10151","548","611416","8.4","Self-Employed","No","approved","180"
"161481","55493","606","2038207","34.37","Employed","No","approved","12"
"63631","2440","560","1228941","3.83","Employed","No","approved","240"
"168683","93183","671","2205225","55.24","Employed","No","approved","60"
"111246","16206","769","1995747","14.57","Self-Employed","No","approved","240"
"0","0","557","1501010","0","Employed","No","rejected","48"
"115545","29037","440","1688506","25.13","Employed","No","rejected","120"
"53651","13470","676","2500793","25.11","Employed","No","approved","24"
"74828","157","839","829806","0.21","Self-Employed","No","approved","12"
"36360","10890","708","1880458","29.95","Self-Employed","No","approved","120"
"123772","20095","663","1340034","16.24","Employed","No","approved","24"
"97636","58398","783","2292584","59.81","Employed","No","approved","240"
"11015","2417","496","496213","21.94","Self-Employed","No","rejected","240"
"20874","1887","550","422397","9.04","Self-Employed","No","approved","24"
"188186","40209","454","1238624","21.37","Self-Employed","No","rejected","240"
"143931","38406","793","1037638","26.68","Employed","No","approved","36"
"188457","43830","594","371821","23.26","Self-Employed","No","approved","120"
"163399","54931","793","889084","33.62","Self-Employed","No","approved","48"
"0","0","567","1557028","0","Self-Employed","No","rejected","24"
"100044","6546","736","2032513","6.54","Self-Employed","No","approved","180"
"156136","4941","788","1264285","3.16","Self-Employed","No","approved","60"
"74109","19162","734","1288815","25.86","Self-Employed","No","approved","24"
"120080","64691","608","1547774","53.87","Employed","No","approved","48"
"0","0","811","2423177","0","Self-Employed","No","rejected","120"
"47277","9613","803","802689","20.33","Employed","No","approved","120"
